,comments,likes,username,date,channel
118,Weekly. Track. Roundup.,,crackedcookies,12 hours ago,https://www.youtube.com/channel/UCtNjl0aXtqwiHlfvaEdnAyA
119,Please review Nova by Sylvaine,,dashw,4 hours ago,https://www.youtube.com/channel/UCLj60TIB0phVbDYyDKP9w9Q
120,The Loser by Christian Young is a much better album,,christian young,13 hours ago,https://www.youtube.com/channel/UCFLccyO9XD-lLA9cauEF3ng
121,YESSSSSSSS.  YESSSSSSSSSSSSSSSS.  YESSSSSSSSSSSSSSSSSSSSSSSSSS.,3,Severian,18 hours ago,https://www.youtube.com/channel/UC3gjYR1LiJSI8RYWZ8hzJhA
122,twelve carat toothache review needed now,,MB4T89,15 hours ago,https://www.youtube.com/channel/UCLWW175vka-gTzGWSVk8PNw
123,Poor Anthony. Stuck in the YouTube machine.,,Stephen Color,18 hours ago,https://www.youtube.com/channel/UCtbMkSTaDrCGukJG1txTGnw
124,"You can't just cut up a piece of cardboard and write the name of the album on it, Anthony. Try put in a bit more effort next time.",,Michael Garmonsway,19 hours ago,https://www.youtube.com/channel/UC9E2lknmZuQgZZLfHfwwItA
125,Posting on a Sunday? How brave,,Iain Ball,19 hours ago,https://www.youtube.com/channel/UCZWExxkKITsXkSClKkdCiUQ
126,"8/10 is the score, pls don't watch any more of this video, thx",1,GMarce PR,19 hours ago,https://www.youtube.com/channel/UCoEmNk44BWmFcDNsJudGBJQ
127,Review Motley Crue albums,,russell cavender,19 hours ago,https://www.youtube.com/channel/UCYQ3-lpcFn8rAjftkxj4Y1A
128,Personally I didn’t like this album (I didn’t listen to it) but I’m glad you enjoyed it,1,Themichaeldoug,19 hours ago,https://www.youtube.com/channel/UCUpnFVAdoCVspGz_8iWDiHQ
129,🔥🔥🔥🔥,,That one edgy black dude,18 hours ago,https://www.youtube.com/channel/UC4m2oZcj2uDTQe5qkJiCNyw
130,Nice,,key,19 hours ago,https://www.youtube.com/channel/UCy7LYhoaB8gCRjWIx8adgjg
131,Melon - The Loser,,Cashew Chestnut,19 hours ago,https://www.youtube.com/channel/UCU8H4fYUan09UQHaWDbeTbw
132,Epic,,epic tom,19 hours ago,https://www.youtube.com/channel/UCihH1seUB7CGsjVPRDlLPDQ
133,Gods Father classic review?,,Davis Baumberger,19 hours ago,https://www.youtube.com/channel/UCt3aOf4IMRmjZu2e_edUx1g
134,"But Anthony, this is PROG.
You hate Prog!",,Majesty ZX,17 hours ago (edited),https://www.youtube.com/channel/UCw7lsRgD3_3tmPGZ5904Iaw
135,I thought you hated Christian Rock,,alain andrews,18 hours ago,https://www.youtube.com/channel/UC04htpmxaYz_NLUsycdqiOA
136,"Let’s gooo, yellow flannel",,Torbinsky’s bot,19 hours ago,https://www.youtube.com/channel/UCzxSIh5X3OaQ9E43yuajMFw
137,Album title is about you!!! LMAO LOL,,astral plane crash,18 hours ago,https://www.youtube.com/channel/UCysMDvlLKnDtCMiZdmmhjww
138,holy fuck yes,,vinocoati,19 hours ago,https://www.youtube.com/channel/UCAtU79ebGCK9f7z3osUxFSw
139,YES,,toilet joseph,19 hours ago,https://www.youtube.com/channel/UC26x0XZF_zhjsHl7LkzBOFw
140,Still better than mr morale,,Tufty,17 hours ago,https://www.youtube.com/channel/UCmKoFrim74TQrin73JBgOGw
